id,state,table,col,type,empty,rows,val_cnt,minv,maxv,unique_vals,duplicates,type_ok
6948,IA,valu1,tk0_20a,float,N,11116.0,11116.0,1.0,20.0,27.0,Y,Y
6949,IA,valu1,tk0_30a,float,N,11116.0,11116.0,1.5,30.0,39.0,Y,Y
6950,IA,valu1,tk0_100a,float,N,11116.0,11116.0,5.0,100.0,203.0,Y,Y
6951,IA,valu1,tk0_150a,float,N,11116.0,11116.0,7.5,150.0,233.0,Y,Y
6952,IA,valu1,tk0_999a,float,N,11116.0,11116.0,7.599999904632568,244.14999389648438,627.0,Y,Y
6953,IA,valu1,musumcpcta,int,N,11116.0,11116.0,5.0,100.0,25.0,Y,Y
6954,IA,valu1,soc0_5,float,N,11116.0,11116.0,6.0,6651.0,1515.0,Y,Y
6955,IA,valu1,soc5_20,float,N,11116.0,11116.0,17.0,19319.0,2581.0,Y,Y
6956,IA,valu1,soc20_50,float,N,11116.0,11069.0,0.0,38160.0,3042.0,Y,Y
6957,IA,valu1,soc50_100,float,N,11116.0,11069.0,0.0,58945.0,2773.0,Y,Y
6958,IA,valu1,soc100_150,float,N,11116.0,11039.0,0.0,54379.0,2133.0,Y,Y
6959,IA,valu1,soc150_999,float,N,11116.0,11039.0,0.0,54379.0,1353.0,Y,Y
6960,IA,valu1,soc0_20,float,N,11116.0,11116.0,22.0,25778.0,2720.0,Y,Y
6961,IA,valu1,soc0_30,float,N,11116.0,11116.0,33.0,38509.0,3156.0,Y,Y
6962,IA,valu1,soc0_100,float,N,11116.0,11116.0,57.0,120666.0,3741.0,Y,Y
6963,IA,valu1,soc0_150,float,N,11116.0,11116.0,57.0,174927.0,3848.0,Y,Y
6964,IA,valu1,soc0_999,float,N,11116.0,11116.0,57.0,228243.0,3880.0,Y,Y
6965,IA,valu1,tk0_5s,float,N,11116.0,11015.0,0.0,5.0,6.0,Y,Y
6966,IA,valu1,tk5_20s,float,N,11116.0,11116.0,1.0,15.0,14.0,Y,Y
6967,IA,valu1,tk20_50s,float,N,11116.0,11116.0,1.0,30.0,28.0,Y,Y
6968,IA,valu1,tk50_100s,float,N,11116.0,11116.0,1.0,50.0,48.0,Y,Y
6969,IA,valu1,tk100_150s,float,N,11116.0,11116.0,1.0,50.0,42.0,Y,Y
6970,IA,valu1,tk150_999s,float,N,11116.0,11052.0,0.0,94.0,67.0,Y,Y
6971,IA,valu1,tk0_20s,float,N,11116.0,11116.0,1.0,20.0,18.0,Y,Y
6972,IA,valu1,tk0_30s,float,N,11116.0,11116.0,2.0,30.0,23.0,Y,Y
6973,IA,valu1,tk0_100s,float,N,11116.0,11116.0,5.0,100.0,79.0,Y,Y
6974,IA,valu1,tk0_150s,float,N,11116.0,11116.0,8.0,150.0,113.0,Y,Y
6975,IA,valu1,tk0_999s,float,N,11116.0,11116.0,8.0,244.0,186.0,Y,Y
6976,IA,valu1,musumcpcts,int,N,11116.0,11116.0,5.0,100.0,25.0,Y,Y
6977,IA,valu1,nccpi3corn,float,N,11116.0,11116.0,0.003000000026077032,0.9909999966621399,865.0,Y,Y
6978,IA,valu1,nccpi3soy,float,N,11116.0,11116.0,0.003000000026077032,0.9769999980926514,887.0,Y,Y
6979,IA,valu1,nccpi3cot,float,N,11116.0,11106.0,0.0,0.09099999815225601,8.0,Y,Y
6980,IA,valu1,nccpi3sg,float,N,11116.0,11116.0,0.013000000268220901,0.8360000252723694,762.0,Y,Y
6981,IA,valu1,nccpi3all,float,N,11116.0,11116.0,0.014000000432133675,0.9909999966621399,858.0,Y,Y
6982,IA,valu1,pctearthmc,int,N,11116.0,10556.0,0,100,37.0,Y,Y
6983,IA,valu1,rootznemc,int,N,11116.0,11022.0,0.0,150.0,92.0,Y,Y
6984,IA,valu1,rootznaws,int,N,11116.0,10998.0,0.0,600.0,307.0,Y,Y
6985,IA,valu1,droughty,int,N,11116.0,2261.0,0.0,1.0,2.0,Y,Y
6986,IA,valu1,pwsl1pomu,int,N,11116.0,11116.0,1.0,999.0,51.0,Y,Y
6987,IA,valu1,musumcpct,int,N,11116.0,11116.0,100,100,1.0,Y,Y
6988,IA,valu1,mukey,str,N,11116.0,11116.0,,,11116.0,N,Y
6989,FL,mapunit,musym,str,N,3818.0,3818.0,,,179.0,Y,Y
6990,FL,mapunit,muname,str,N,3818.0,3818.0,,,2188.0,Y,Y
6991,FL,mapunit,mukind,str,N,3818.0,3810.0,,,4.0,Y,Y
6992,FL,mapunit,mustatus,str,Y,3818.0,0.0,,,0.0,Y,Y
6993,FL,mapunit,muacres,int,N,3818.0,3818.0,1,2086300,2844.0,Y,Y
6994,FL,mapunit,mapunitlfw_l,int,Y,3818.0,0.0,1,2086300,0.0,Y,Y
6995,FL,mapunit,mapunitlfw_r,int,Y,3818.0,0.0,1,2086300,0.0,Y,Y
6996,FL,mapunit,mapunitlfw_h,int,Y,3818.0,0.0,1,2086300,0.0,Y,Y
6997,FL,mapunit,mapunitpfa_l,float,Y,3818.0,0.0,1,2086300,0.0,Y,Y
6998,FL,mapunit,mapunitpfa_r,float,Y,3818.0,0.0,1,2086300,0.0,Y,Y
6999,FL,mapunit,mapunitpfa_h,float,Y,3818.0,0.0,1,2086300,0.0,Y,Y
7000,FL,mapunit,farmlndcl,str,N,3818.0,3725.0,,,6.0,Y,Y
7001,FL,mapunit,muhelcl,str,Y,3818.0,0.0,,,0.0,Y,Y
7002,FL,mapunit,muwathelcl,str,Y,3818.0,0.0,,,0.0,Y,Y
7003,FL,mapunit,muwndhelcl,str,Y,3818.0,0.0,,,0.0,Y,Y
7004,FL,mapunit,interpfocus,str,N,3818.0,183.0,,,18.0,Y,Y
7005,FL,mapunit,invesintens,str,N,3818.0,3726.0,,,2.0,Y,Y
7006,FL,mapunit,iacornsr,int,Y,3818.0,0.0,,,0.0,Y,Y
7007,FL,mapunit,nhiforsoigrp,str,Y,3818.0,0.0,,,0.0,Y,Y
7008,FL,mapunit,nhspiagr,float,Y,3818.0,0.0,,,0.0,Y,Y
7009,FL,mapunit,vtsepticsyscl,str,Y,3818.0,0.0,,,0.0,Y,Y
7010,FL,mapunit,mucertstat,str,Y,3818.0,0.0,,,0.0,Y,Y
7011,FL,mapunit,lkey,str,N,3818.0,3818.0,,,72.0,Y,Y
7012,FL,mapunit,mukey,str,N,3818.0,3818.0,,,3818.0,N,Y
7013,FL,component,comppct_l,int,N,18559.0,18505.0,0.0,100.0,28.0,Y,Y
7014,FL,component,comppct_r,int,N,18559.0,18559.0,1,100,100.0,Y,Y
7015,FL,component,comppct_h,int,N,18559.0,18559.0,5.0,100.0,28.0,Y,Y
7016,FL,component,compname,str,N,18559.0,18559.0,,,511.0,Y,Y
7017,FL,component,compkind,str,N,18559.0,18557.0,,,6.0,Y,Y
7018,FL,component,majcompflag,str,N,18559.0,18559.0,,,2.0,Y,Y
7019,FL,component,otherph,str,N,18559.0,904.0,,,20.0,Y,Y
7020,FL,component,localphase,str,N,18559.0,3091.0,,,78.0,Y,Y
7021,FL,component,slope_l,float,N,18559.0,2555.0,0.0,45.0,15.0,Y,Y
7022,FL,component,slope_r,float,N,18559.0,18536.0,0.0,60.0,55.0,Y,Y
7023,FL,component,slope_h,float,N,18559.0,18559.0,0.5,120.0,27.0,Y,Y
7024,FL,component,slopelenusle_l,int,N,18559.0,18559.0,10.0,120.0,13.0,Y,Y
7025,FL,component,slopelenusle_r,int,N,18559.0,18559.0,8.0,190.0,27.0,Y,Y
7026,FL,component,slopelenusle_h,int,N,18559.0,18559.0,21.0,400.0,16.0,Y,Y
7027,FL,component,runoff,str,N,18559.0,17999.0,,,6.0,Y,Y
7028,FL,component,tfact,int,N,18559.0,18559.0,1.0,5.0,5.0,Y,Y
7029,FL,component,wei,str,N,18559.0,17759.0,,,10.0,Y,Y
7030,FL,component,weg,str,N,18559.0,17759.0,,,9.0,Y,Y
7031,FL,component,erocl,str,N,18559.0,17473.0,,,4.0,Y,Y
